# Point: 1.095 0
# phi_prescribed: 350000	p0: 1500
Disp_r 	 Disp_z 	 Disp_norm 	 p_stretch_1 	 p_stretch_2 	 p_stretch_3 	 Load_value
-4.348e-05	-2.087e-18	4.348e-05	1.000e+00	1.000e+00	1.000e+00	1.000e-03
-1.740e-04	-7.972e-17	1.740e-04	1.000e+00	1.000e+00	9.998e-01	2.000e-03
-3.910e-04	-3.100e-17	3.910e-04	1.000e+00	1.000e+00	9.996e-01	3.000e-03
-6.939e-04	-2.645e-16	6.939e-04	1.001e+00	1.000e+00	9.994e-01	4.000e-03
-1.082e-03	4.926e-18	1.082e-03	1.001e+00	1.000e+00	9.990e-01	5.000e-03
-1.553e-03	-9.326e-17	1.553e-03	1.001e+00	1.001e+00	9.986e-01	6.000e-03
-2.107e-03	-9.789e-16	2.107e-03	1.002e+00	1.001e+00	9.981e-01	7.000e-03
-2.742e-03	-1.950e-16	2.742e-03	1.002e+00	1.001e+00	9.975e-01	8.000e-03
-3.455e-03	4.101e-16	3.455e-03	1.002e+00	1.001e+00	9.968e-01	9.000e-03
-4.246e-03	5.342e-15	4.246e-03	1.003e+00	1.002e+00	9.961e-01	1.000e-02
-5.111e-03	2.155e-15	5.111e-03	1.004e+00	1.002e+00	9.953e-01	1.100e-02
-6.049e-03	-1.980e-15	6.049e-03	1.004e+00	1.002e+00	9.945e-01	1.200e-02
-7.057e-03	-4.995e-15	7.057e-03	1.005e+00	1.003e+00	9.936e-01	1.300e-02
-8.132e-03	2.435e-15	8.132e-03	1.006e+00	1.003e+00	9.926e-01	1.400e-02
-9.272e-03	-3.892e-15	9.272e-03	1.006e+00	1.004e+00	9.915e-01	1.500e-02
-1.047e-02	-2.855e-16	1.047e-02	1.007e+00	1.004e+00	9.904e-01	1.600e-02
-1.174e-02	-2.116e-17	1.174e-02	1.008e+00	1.005e+00	9.893e-01	1.700e-02
-1.306e-02	2.666e-15	1.306e-02	1.009e+00	1.005e+00	9.881e-01	1.800e-02
-1.443e-02	8.557e-15	1.443e-02	1.010e+00	1.006e+00	9.868e-01	1.900e-02
-1.585e-02	-8.129e-16	1.585e-02	1.011e+00	1.006e+00	9.855e-01	2.000e-02
-1.732e-02	3.440e-16	1.732e-02	1.012e+00	1.007e+00	9.842e-01	2.100e-02
-1.883e-02	7.514e-16	1.883e-02	1.012e+00	1.008e+00	9.828e-01	2.200e-02
-2.038e-02	-3.321e-15	2.038e-02	1.013e+00	1.008e+00	9.814e-01	2.300e-02
-2.197e-02	4.312e-15	2.197e-02	1.014e+00	1.009e+00	9.799e-01	2.400e-02
-2.359e-02	7.919e-16	2.359e-02	1.015e+00	1.010e+00	9.785e-01	2.500e-02
-2.524e-02	1.839e-15	2.524e-02	1.016e+00	1.011e+00	9.770e-01	2.600e-02
-2.691e-02	-2.189e-15	2.691e-02	1.018e+00	1.012e+00	9.754e-01	2.700e-02
-2.860e-02	5.268e-15	2.860e-02	1.019e+00	1.012e+00	9.739e-01	2.800e-02
-3.031e-02	4.816e-16	3.031e-02	1.020e+00	1.013e+00	9.723e-01	2.900e-02
-3.202e-02	-2.623e-15	3.202e-02	1.021e+00	1.014e+00	9.708e-01	3.000e-02
-3.375e-02	1.543e-14	3.375e-02	1.022e+00	1.015e+00	9.692e-01	3.100e-02
-3.547e-02	-3.178e-15	3.547e-02	1.023e+00	1.016e+00	9.676e-01	3.200e-02
-3.720e-02	-4.375e-15	3.720e-02	1.024e+00	1.017e+00	9.660e-01	3.300e-02
-3.892e-02	8.278e-16	3.892e-02	1.025e+00	1.018e+00	9.645e-01	3.400e-02
-4.063e-02	-1.111e-14	4.063e-02	1.027e+00	1.018e+00	9.629e-01	3.500e-02
-4.233e-02	-2.932e-15	4.233e-02	1.028e+00	1.019e+00	9.613e-01	3.600e-02
-4.402e-02	4.380e-15	4.402e-02	1.029e+00	1.020e+00	9.598e-01	3.700e-02
-4.569e-02	-9.367e-15	4.569e-02	1.030e+00	1.021e+00	9.583e-01	3.800e-02
-4.735e-02	2.857e-15	4.735e-02	1.031e+00	1.022e+00	9.568e-01	3.900e-02
-4.898e-02	2.571e-15	4.898e-02	1.033e+00	1.023e+00	9.553e-01	4.000e-02
-5.058e-02	5.554e-15	5.058e-02	1.034e+00	1.024e+00	9.538e-01	4.100e-02
-5.217e-02	1.075e-15	5.217e-02	1.035e+00	1.025e+00	9.524e-01	4.200e-02
-5.373e-02	4.806e-16	5.373e-02	1.036e+00	1.026e+00	9.509e-01	4.300e-02
-5.526e-02	5.009e-16	5.526e-02	1.037e+00	1.027e+00	9.495e-01	4.400e-02
-5.676e-02	-3.818e-15	5.676e-02	1.039e+00	1.028e+00	9.482e-01	4.500e-02
-5.823e-02	6.925e-15	5.823e-02	1.040e+00	1.029e+00	9.468e-01	4.600e-02
-5.968e-02	-8.071e-16	5.968e-02	1.041e+00	1.030e+00	9.455e-01	4.700e-02
-6.109e-02	-5.381e-15	6.109e-02	1.042e+00	1.031e+00	9.442e-01	4.800e-02
-6.248e-02	4.972e-15	6.248e-02	1.043e+00	1.031e+00	9.429e-01	4.900e-02
-6.383e-02	1.230e-14	6.383e-02	1.045e+00	1.032e+00	9.417e-01	5.000e-02
-5.449e-02	-1.061e-14	5.449e-02	1.049e+00	1.024e+00	9.502e-01	5.100e-02
-4.556e-02	-7.404e-15	4.556e-02	1.055e+00	1.015e+00	9.584e-01	5.200e-02
-3.720e-02	8.944e-15	3.720e-02	1.062e+00	1.005e+00	9.660e-01	5.300e-02
-2.947e-02	4.994e-15	2.947e-02	1.070e+00	9.950e-01	9.731e-01	5.400e-02
-2.233e-02	7.283e-15	2.233e-02	1.078e+00	9.853e-01	9.796e-01	5.500e-02
