# Point: 0.9 0.195
# phi_prescribed: 350000	p0: 1500
Disp_r 	 Disp_z 	 Disp_norm 	 p_stretch_1 	 p_stretch_2 	 p_stretch_3 	 Load_value
-1.952e-06	4.462e-05	4.466e-05	1.000e+00	1.000e+00	1.000e+00	1.000e-03
-7.910e-06	1.786e-04	1.788e-04	1.000e+00	1.000e+00	1.000e+00	2.000e-03
-1.781e-05	4.019e-04	4.023e-04	1.000e+00	1.000e+00	9.999e-01	3.000e-03
-3.160e-05	7.146e-04	7.153e-04	1.000e+00	1.000e+00	9.998e-01	4.000e-03
-4.921e-05	1.116e-03	1.118e-03	1.000e+00	9.999e-01	9.997e-01	5.000e-03
-7.057e-05	1.608e-03	1.609e-03	1.000e+00	9.999e-01	9.996e-01	6.000e-03
-9.557e-05	2.188e-03	2.190e-03	1.000e+00	9.999e-01	9.994e-01	7.000e-03
-1.241e-04	2.857e-03	2.860e-03	1.001e+00	9.999e-01	9.992e-01	8.000e-03
-1.560e-04	3.615e-03	3.619e-03	1.001e+00	9.998e-01	9.990e-01	9.000e-03
-1.911e-04	4.462e-03	4.466e-03	1.001e+00	9.998e-01	9.988e-01	1.000e-02
-2.293e-04	5.396e-03	5.401e-03	1.001e+00	9.997e-01	9.985e-01	1.100e-02
-2.704e-04	6.418e-03	6.424e-03	1.001e+00	9.997e-01	9.981e-01	1.200e-02
-3.142e-04	7.526e-03	7.533e-03	1.002e+00	9.997e-01	9.977e-01	1.300e-02
-3.605e-04	8.720e-03	8.727e-03	1.002e+00	9.996e-01	9.973e-01	1.400e-02
-4.091e-04	9.996e-03	1.000e-02	1.002e+00	9.995e-01	9.968e-01	1.500e-02
-4.597e-04	1.135e-02	1.136e-02	1.002e+00	9.995e-01	9.962e-01	1.600e-02
-5.121e-04	1.279e-02	1.280e-02	1.003e+00	9.994e-01	9.955e-01	1.700e-02
-5.660e-04	1.431e-02	1.432e-02	1.003e+00	9.994e-01	9.948e-01	1.800e-02
-6.211e-04	1.589e-02	1.590e-02	1.004e+00	9.993e-01	9.940e-01	1.900e-02
-6.772e-04	1.755e-02	1.756e-02	1.004e+00	9.992e-01	9.931e-01	2.000e-02
-7.338e-04	1.926e-02	1.928e-02	1.005e+00	9.992e-01	9.920e-01	2.100e-02
-7.906e-04	2.103e-02	2.105e-02	1.005e+00	9.991e-01	9.909e-01	2.200e-02
-8.472e-04	2.286e-02	2.287e-02	1.006e+00	9.991e-01	9.897e-01	2.300e-02
-9.033e-04	2.472e-02	2.474e-02	1.007e+00	9.990e-01	9.884e-01	2.400e-02
-9.584e-04	2.663e-02	2.664e-02	1.007e+00	9.989e-01	9.869e-01	2.500e-02
-1.012e-03	2.856e-02	2.858e-02	1.008e+00	9.989e-01	9.854e-01	2.600e-02
-1.064e-03	3.051e-02	3.053e-02	1.009e+00	9.988e-01	9.837e-01	2.700e-02
-1.113e-03	3.247e-02	3.249e-02	1.010e+00	9.988e-01	9.820e-01	2.800e-02
-1.160e-03	3.444e-02	3.446e-02	1.011e+00	9.987e-01	9.801e-01	2.900e-02
-1.203e-03	3.641e-02	3.643e-02	1.012e+00	9.987e-01	9.781e-01	3.000e-02
-1.243e-03	3.837e-02	3.839e-02	1.013e+00	9.986e-01	9.761e-01	3.100e-02
