# Point: 1.095 0
# phi_prescribed: 350000	p0: 1500
Disp_r 	 Disp_z 	 Disp_norm 	 p_stretch_1 	 p_stretch_2 	 p_stretch_3 	 Load_value
2.638e-03	-7.896e-15	2.638e-03	1.009e+00	1.002e+00	9.920e-01	1.000e-03
5.454e-03	7.864e-15	5.454e-03	1.019e+00	1.005e+00	9.839e-01	2.000e-03
8.394e-03	7.588e-15	8.394e-03	1.029e+00	1.008e+00	9.757e-01	3.000e-03
1.143e-02	1.281e-14	1.143e-02	1.039e+00	1.010e+00	9.674e-01	4.000e-03
1.456e-02	-4.096e-15	1.456e-02	1.049e+00	1.013e+00	9.589e-01	5.000e-03
1.776e-02	8.039e-15	1.776e-02	1.060e+00	1.016e+00	9.503e-01	6.000e-03
2.104e-02	1.681e-14	2.104e-02	1.070e+00	1.019e+00	9.417e-01	7.000e-03
2.440e-02	-3.868e-14	2.440e-02	1.081e+00	1.022e+00	9.329e-01	8.000e-03
2.783e-02	3.600e-14	2.783e-02	1.093e+00	1.025e+00	9.240e-01	9.000e-03
3.134e-02	-5.595e-15	3.134e-02	1.104e+00	1.029e+00	9.150e-01	1.000e-02
3.494e-02	-4.580e-15	3.494e-02	1.116e+00	1.032e+00	9.059e-01	1.100e-02
3.861e-02	9.276e-15	3.861e-02	1.128e+00	1.035e+00	8.968e-01	1.200e-02
4.237e-02	-2.229e-14	4.237e-02	1.141e+00	1.039e+00	8.875e-01	1.300e-02
4.621e-02	-1.588e-14	4.621e-02	1.154e+00	1.042e+00	8.781e-01	1.400e-02
5.015e-02	4.028e-15	5.015e-02	1.167e+00	1.046e+00	8.686e-01	1.500e-02
5.417e-02	-2.214e-14	5.417e-02	1.180e+00	1.049e+00	8.590e-01	1.600e-02
5.830e-02	-2.322e-15	5.830e-02	1.194e+00	1.053e+00	8.494e-01	1.700e-02
6.252e-02	-2.935e-14	6.252e-02	1.209e+00	1.057e+00	8.396e-01	1.800e-02
6.684e-02	2.138e-14	6.684e-02	1.223e+00	1.061e+00	8.298e-01	1.900e-02
7.127e-02	2.119e-14	7.127e-02	1.238e+00	1.065e+00	8.199e-01	2.000e-02
7.581e-02	-5.792e-16	7.581e-02	1.253e+00	1.069e+00	8.099e-01	2.100e-02
8.046e-02	3.408e-14	8.046e-02	1.269e+00	1.073e+00	7.998e-01	2.200e-02
8.522e-02	-3.037e-14	8.522e-02	1.285e+00	1.078e+00	7.897e-01	2.300e-02
9.010e-02	3.759e-14	9.010e-02	1.301e+00	1.082e+00	7.795e-01	2.400e-02
9.511e-02	1.508e-14	9.511e-02	1.318e+00	1.087e+00	7.693e-01	2.500e-02
1.002e-01	3.553e-14	1.002e-01	1.335e+00	1.092e+00	7.589e-01	2.600e-02
1.055e-01	8.762e-14	1.055e-01	1.353e+00	1.096e+00	7.486e-01	2.700e-02
1.109e-01	3.811e-14	1.109e-01	1.371e+00	1.101e+00	7.382e-01	2.800e-02
1.164e-01	2.968e-14	1.164e-01	1.389e+00	1.106e+00	7.278e-01	2.900e-02
1.220e-01	-2.866e-14	1.220e-01	1.408e+00	1.111e+00	7.173e-01	3.000e-02
1.278e-01	2.360e-14	1.278e-01	1.428e+00	1.117e+00	7.069e-01	3.100e-02
1.337e-01	1.257e-14	1.337e-01	1.447e+00	1.122e+00	6.964e-01	3.200e-02
1.398e-01	4.061e-14	1.398e-01	1.467e+00	1.128e+00	6.859e-01	3.300e-02
1.460e-01	1.566e-14	1.460e-01	1.488e+00	1.133e+00	6.754e-01	3.400e-02
1.524e-01	-2.852e-14	1.524e-01	1.508e+00	1.139e+00	6.650e-01	3.500e-02
1.589e-01	2.890e-14	1.589e-01	1.530e+00	1.145e+00	6.545e-01	3.600e-02
1.655e-01	-1.703e-14	1.655e-01	1.551e+00	1.151e+00	6.441e-01	3.700e-02
1.723e-01	2.968e-14	1.723e-01	1.573e+00	1.157e+00	6.338e-01	3.800e-02
1.792e-01	2.907e-14	1.792e-01	1.595e+00	1.164e+00	6.234e-01	3.900e-02
1.863e-01	9.501e-15	1.863e-01	1.618e+00	1.170e+00	6.132e-01	4.000e-02
1.935e-01	-9.287e-14	1.935e-01	1.641e+00	1.177e+00	6.030e-01	4.100e-02
2.009e-01	-5.595e-14	2.009e-01	1.665e+00	1.183e+00	5.928e-01	4.200e-02
2.084e-01	4.595e-14	2.084e-01	1.688e+00	1.190e+00	5.828e-01	4.300e-02
2.161e-01	-5.170e-14	2.161e-01	1.713e+00	1.197e+00	5.728e-01	4.400e-02
2.239e-01	4.449e-14	2.239e-01	1.737e+00	1.204e+00	5.629e-01	4.500e-02
2.318e-01	8.224e-14	2.318e-01	1.762e+00	1.212e+00	5.532e-01	4.600e-02
2.399e-01	1.520e-14	2.399e-01	1.787e+00	1.219e+00	5.435e-01	4.700e-02
2.481e-01	-7.758e-15	2.481e-01	1.812e+00	1.227e+00	5.340e-01	4.800e-02
2.564e-01	1.679e-14	2.564e-01	1.838e+00	1.234e+00	5.245e-01	4.900e-02
2.649e-01	7.747e-14	2.649e-01	1.864e+00	1.242e+00	5.152e-01	5.000e-02
2.649e-01	-4.338e-16	2.649e-01	1.864e+00	1.242e+00	5.152e-01	5.100e-02
2.649e-01	3.711e-16	2.649e-01	1.864e+00	1.242e+00	5.152e-01	5.200e-02
2.649e-01	3.781e-16	2.649e-01	1.864e+00	1.242e+00	5.153e-01	5.300e-02
2.648e-01	1.470e-16	2.648e-01	1.864e+00	1.242e+00	5.153e-01	5.400e-02
2.648e-01	2.294e-16	2.648e-01	1.864e+00	1.242e+00	5.154e-01	5.500e-02
2.648e-01	-1.134e-15	2.648e-01	1.864e+00	1.242e+00	5.155e-01	5.600e-02
2.648e-01	3.776e-16	2.648e-01	1.864e+00	1.242e+00	5.155e-01	5.700e-02
2.647e-01	-6.864e-16	2.647e-01	1.864e+00	1.242e+00	5.156e-01	5.800e-02
2.647e-01	-1.260e-15	2.647e-01	1.864e+00	1.242e+00	5.158e-01	5.900e-02
2.647e-01	-2.116e-15	2.647e-01	1.864e+00	1.242e+00	5.159e-01	6.000e-02
2.646e-01	-2.042e-15	2.646e-01	1.864e+00	1.242e+00	5.160e-01	6.100e-02
2.646e-01	-2.616e-16	2.646e-01	1.864e+00	1.242e+00	5.162e-01	6.200e-02
2.645e-01	1.040e-16	2.645e-01	1.864e+00	1.242e+00	5.164e-01	6.300e-02
2.645e-01	-6.471e-16	2.645e-01	1.865e+00	1.242e+00	5.165e-01	6.400e-02
2.644e-01	1.841e-15	2.644e-01	1.865e+00	1.241e+00	5.167e-01	6.500e-02
2.643e-01	7.054e-15	2.643e-01	1.865e+00	1.241e+00	5.169e-01	6.600e-02
2.643e-01	2.995e-15	2.643e-01	1.865e+00	1.241e+00	5.172e-01	6.700e-02
2.642e-01	-1.560e-15	2.642e-01	1.865e+00	1.241e+00	5.174e-01	6.800e-02
2.641e-01	-2.553e-15	2.641e-01	1.865e+00	1.241e+00	5.177e-01	6.900e-02
