# Point: 0.9 0.195
# phi_prescribed: 350000	p0: 1500
Disp_r 	 Disp_z 	 Disp_norm 	 p_stretch_1 	 p_stretch_2 	 p_stretch_3 	 Load_value
1.261e-03	2.544e-03	2.839e-03	1.010e+00	1.001e+00	9.920e-01	1.000e-03
2.557e-03	4.999e-03	5.615e-03	1.021e+00	1.003e+00	9.839e-01	2.000e-03
3.875e-03	7.432e-03	8.382e-03	1.032e+00	1.004e+00	9.757e-01	3.000e-03
5.211e-03	9.873e-03	1.116e-02	1.043e+00	1.006e+00	9.675e-01	4.000e-03
6.564e-03	1.234e-02	1.398e-02	1.054e+00	1.007e+00	9.593e-01	5.000e-03
7.934e-03	1.484e-02	1.683e-02	1.066e+00	1.009e+00	9.509e-01	6.000e-03
9.322e-03	1.738e-02	1.972e-02	1.077e+00	1.010e+00	9.426e-01	7.000e-03
1.073e-02	1.997e-02	2.267e-02	1.089e+00	1.012e+00	9.341e-01	8.000e-03
1.215e-02	2.261e-02	2.567e-02	1.102e+00	1.014e+00	9.256e-01	9.000e-03
1.360e-02	2.530e-02	2.872e-02	1.114e+00	1.015e+00	9.170e-01	1.000e-02
1.506e-02	2.805e-02	3.184e-02	1.127e+00	1.017e+00	9.084e-01	1.100e-02
1.655e-02	3.086e-02	3.502e-02	1.141e+00	1.018e+00	8.997e-01	1.200e-02
1.807e-02	3.372e-02	3.826e-02	1.154e+00	1.020e+00	8.910e-01	1.300e-02
1.961e-02	3.665e-02	4.157e-02	1.168e+00	1.022e+00	8.822e-01	1.400e-02
2.117e-02	3.964e-02	4.494e-02	1.182e+00	1.024e+00	8.734e-01	1.500e-02
2.277e-02	4.270e-02	4.839e-02	1.196e+00	1.025e+00	8.645e-01	1.600e-02
2.440e-02	4.582e-02	5.191e-02	1.211e+00	1.027e+00	8.555e-01	1.700e-02
2.607e-02	4.901e-02	5.551e-02	1.226e+00	1.029e+00	8.465e-01	1.800e-02
2.776e-02	5.226e-02	5.918e-02	1.242e+00	1.031e+00	8.375e-01	1.900e-02
2.950e-02	5.559e-02	6.293e-02	1.257e+00	1.033e+00	8.284e-01	2.000e-02
3.128e-02	5.899e-02	6.677e-02	1.273e+00	1.035e+00	8.193e-01	2.100e-02
3.310e-02	6.246e-02	7.069e-02	1.290e+00	1.037e+00	8.101e-01	2.200e-02
3.496e-02	6.600e-02	7.469e-02	1.306e+00	1.039e+00	8.009e-01	2.300e-02
3.687e-02	6.961e-02	7.877e-02	1.324e+00	1.041e+00	7.917e-01	2.400e-02
3.883e-02	7.330e-02	8.295e-02	1.341e+00	1.043e+00	7.825e-01	2.500e-02
4.084e-02	7.706e-02	8.721e-02	1.359e+00	1.045e+00	7.732e-01	2.600e-02
4.291e-02	8.090e-02	9.157e-02	1.377e+00	1.048e+00	7.639e-01	2.700e-02
4.502e-02	8.481e-02	9.602e-02	1.396e+00	1.050e+00	7.546e-01	2.800e-02
4.720e-02	8.879e-02	1.006e-01	1.414e+00	1.052e+00	7.452e-01	2.900e-02
4.944e-02	9.286e-02	1.052e-01	1.434e+00	1.055e+00	7.359e-01	3.000e-02
5.173e-02	9.699e-02	1.099e-01	1.453e+00	1.057e+00	7.266e-01	3.100e-02
5.410e-02	1.012e-01	1.148e-01	1.473e+00	1.060e+00	7.172e-01	3.200e-02
5.652e-02	1.055e-01	1.197e-01	1.494e+00	1.063e+00	7.079e-01	3.300e-02
5.902e-02	1.099e-01	1.247e-01	1.514e+00	1.066e+00	6.986e-01	3.400e-02
6.158e-02	1.143e-01	1.298e-01	1.535e+00	1.068e+00	6.892e-01	3.500e-02
6.421e-02	1.188e-01	1.350e-01	1.557e+00	1.071e+00	6.799e-01	3.600e-02
6.692e-02	1.234e-01	1.404e-01	1.579e+00	1.074e+00	6.707e-01	3.700e-02
6.970e-02	1.280e-01	1.458e-01	1.601e+00	1.077e+00	6.614e-01	3.800e-02
7.255e-02	1.328e-01	1.513e-01	1.623e+00	1.081e+00	6.522e-01	3.900e-02
7.548e-02	1.376e-01	1.569e-01	1.646e+00	1.084e+00	6.431e-01	4.000e-02
7.848e-02	1.424e-01	1.626e-01	1.669e+00	1.087e+00	6.339e-01	4.100e-02
8.156e-02	1.474e-01	1.684e-01	1.693e+00	1.091e+00	6.249e-01	4.200e-02
8.471e-02	1.523e-01	1.743e-01	1.717e+00	1.094e+00	6.159e-01	4.300e-02
8.794e-02	1.574e-01	1.803e-01	1.741e+00	1.098e+00	6.069e-01	4.400e-02
9.125e-02	1.625e-01	1.864e-01	1.766e+00	1.101e+00	5.980e-01	4.500e-02
9.463e-02	1.677e-01	1.926e-01	1.790e+00	1.105e+00	5.892e-01	4.600e-02
9.808e-02	1.730e-01	1.988e-01	1.815e+00	1.109e+00	5.805e-01	4.700e-02
1.016e-01	1.783e-01	2.052e-01	1.841e+00	1.113e+00	5.718e-01	4.800e-02
1.052e-01	1.836e-01	2.116e-01	1.867e+00	1.117e+00	5.632e-01	4.900e-02
1.089e-01	1.890e-01	2.182e-01	1.893e+00	1.121e+00	5.547e-01	5.000e-02
1.089e-01	1.890e-01	2.182e-01	1.893e+00	1.121e+00	5.547e-01	5.100e-02
1.089e-01	1.891e-01	2.182e-01	1.893e+00	1.121e+00	5.547e-01	5.200e-02
1.089e-01	1.891e-01	2.182e-01	1.893e+00	1.121e+00	5.547e-01	5.300e-02
1.089e-01	1.891e-01	2.182e-01	1.893e+00	1.121e+00	5.547e-01	5.400e-02
